"ID_Unit","Provinsi","Jenis_Layanan","Jumlah_Permohonan","Persentase_SLA","Waktu_Respon_Jam","Jumlah_Petugas","Opini_Audit","Kanal_Layanan","Indeks_Kepuasan","Tingkat_Risiko_Layanan","Rasio_Permohonan_per_Petugas","Biaya_Operasional_Juta"
"UP-001","Riau","Pengaduan Publik","10960","96.87","8.43","439"," WTP ","Online ","91.57","Rendah","24.97","522.62"
"UP-002","Riau","Pendidikan","2161","98.85","19.32","686"," WTP ","Loket","96.6","Rendah","3.15","632.07"
"UP-003","Jawa Barat","Administrasi Kependudukan","9229","89.32","12.47","568","wtp","Loket","81.57","Rendah","16.25","548.98"
"UP-004","D.K.I Jakarta","Pengaduan Publik","23265","99.21","14.73","","WTP","Call Center","88.58","Rendah","",""
"UP-005","DI Yogyakarta","Perpajakan Daerah","9258","97.25","2.81","577","wtp","Call Center","90.81","Rendah","16.05","576.85"
"UP-006","Jakarta","Perijinan","17299","89","12.33","110"," WTP ","Online","90.97","Rendah","157.26","377.67"
"UP-007","DI Yogyakarta","Kesehatan","10508","N/A","20.5","274","N/A","Mobile Service","97.28","Rendah","38.35","357.32"
"UP-008","Jakarta","Administrasi Kependudukan","21618","98.13","17.55",""," WTP ","Mobile Service","84.83","Rendah","",""
"UP-009","Kalimantan Timur","Perpajakan Daerah","450000","12","420","3500","WTP","Gerai Keliling","18","Rendah","128.57","22379.44"
"UP-010","Jakarta","Pengaduan Publik","25641","93.82","20.21","678","WTP","Online","84.09","Rendah","-3.5","944.12"
"UP-011","Bali","Perpajakan Daerah","-500","93.57","15.67","297","Wtp","Call Center","-","Rendah","-1.68","219.81"
"UP-012","Papua","Pengaduan Publik","13766","95.88","9.62","600"," WTP ","Call Center","89.03","Rendah","22.94","634.02"
"UP-013","Papua","Administrasi Kependudukan","15894","89.53","5.95","611","Wtp","Mobile Service","85.42","Rendah","26.01","708.03"
"UP-014","Riau","Pengaduan Publik","-","93.08","1.65","573","wtp","Online","96.85","Rendah","",""
"UP-015","Sulawesi Selatan","Pengaduan Publik","0","89.29","4.52","414","wtp","Loket","86.76","Rendah","0","390.64"
"UP-016","Papua","Perpajakan Daerah","18032","88.31","12.63","139"," WTP ","Mobile Service","80.62","Rendah","129.73","387.7"
"UP-017","Sulawesi Selatan","Administrasi Kependudukan","9285","97.77","22.99","567"," WTP ","Call Center","92.39","Rendah","16.38","610.45"
"UP-018","Jawa Timur","Pendidikan","4719","90.12","3.39","N/A","Wtp","Mobile Service","NULL","Rendah","",""
"UP-019","Banten","Perizinan","11214","98.89","1.03","222","Wtp","Loket","93.69","Rendah","50.51","329.21"
"UP-020","?","Administrasi Kependudukan","5957","98.08","8.57","443","Wtp","Gerai Keliling","90.3","Rendah","13.45","389.53"
"UP-021","Papua","Kesehatan","34152","98.67","8.4","55","wtp","Gerai Keliling","86.08","Rendah","620.95","0"
"UP-022","Jawa Timur","Pendidikan","31682","94.11","1.31","551","wtp","Call Center","N/A","Rendah","57.5","952.15"
