"ID_Unit","Provinsi","Jenis_Layanan","Jumlah_Permohonan","Persentase_SLA","Waktu_Respon_Jam","Jumlah_Petugas","Opini_Audit","Kanal_Layanan","Indeks_Kepuasan","Rasio_Permohonan_per_Petugas","Biaya_Operasional_Juta","Tingkat_Risiko_Layanan"
"UP-001","Riau","Pengaduan Publik","10960","96.87","8.43","439","WTP ","Online ","91.57","24.97","522.62","Rendah"
"UP-002","Riau","Pendidikan","2161","98.85","19.32","686","WTP ","Loket","96.6","3.15","632.07","Rendah"
"UP-003","Jawa Barat","Administrasi Kependudukan","9229","89.32","12.47","568","wtp","Loket","81.57","16.25","548.98","Rendah"
"UP-004","D.K.I Jakarta","Pengaduan Publik","23265","99.21","14.73","","WTP","Call Center","88.58","","","Rendah"
"UP-005","DI Yogyakarta","Perpajakan Daerah","9258","97.25","2.81","577","wtp","Call Center","90.81","16.05","576.85","Rendah"
"UP-006","Jakarta","Perijinan","17299","89","12.33","110","WTP ","Online","90.97","157.26","377.67","Rendah"
"UP-007","DI Yogyakarta","Kesehatan","10508","","20.5","274","N/A","Mobile Service","97.28","38.35","357.32","Rendah"
"UP-008","Jakarta","Administrasi Kependudukan","21618","98.13","17.55","","WTP ","Mobile Service","84.83","","","Rendah"
"UP-009","Kalimantan Timur","Perpajakan Daerah","450000","12","420","3500","WTP","Gerai Keliling","18","128.57","22379.44","Rendah"
"UP-010","Jakarta","Pengaduan Publik","25641","93.82","20.21","678","WTP","Online","84.09","-3.5","944.12","Rendah"
"UP-011","Bali","Perpajakan Daerah","-500","93.57","15.67","297","Wtp","Call Center","","-1.68","219.81","Rendah"
"UP-012","Papua","Pengaduan Publik","13766","95.88","9.62","600","WTP ","Call Center","89.03","22.94","634.02","Rendah"
"UP-013","Papua","Administrasi Kependudukan","15894","89.53","5.95","611","Wtp","Mobile Service","85.42","26.01","708.03","Rendah"
"UP-014","Riau","Pengaduan Publik","","93.08","1.65","573","wtp","Online","96.85","","","Rendah"
"UP-015","Sulawesi Selatan","Pengaduan Publik","0","89.29","4.52","414","wtp","Loket","86.76","0","390.64","Rendah"
"UP-016","Papua","Perpajakan Daerah","18032","88.31","12.63","139","WTP ","Mobile Service","80.62","129.73","387.7","Rendah"
"UP-017","Sulawesi Selatan","Administrasi Kependudukan","9285","97.77","22.99","567","WTP ","Call Center","92.39","16.38","610.45","Rendah"
"UP-018","Jawa Timur","Pendidikan","4719","90.12","3.39","","Wtp","Mobile Service","","","","Rendah"
"UP-019","Banten","Perizinan","11214","98.89","1.03","222","Wtp","Loket","93.69","50.51","329.21","Rendah"
"UP-020","?","Administrasi Kependudukan","5957","98.08","8.57","443","Wtp","Gerai Keliling","90.3","13.45","389.53","Rendah"
"UP-021","Papua","Kesehatan","34152","98.67","8.4","55","wtp","Gerai Keliling","86.08","620.95","0","Rendah"
"UP-022","Jawa Timur","Pendidikan","31682","94.11","1.31","551","wtp","Call Center","","57.5","952.15","Rendah"
"UP-023","","Perpajakan Daerah","4891","88.26","6.81","260","WTP","Loket","81.78","18.81","338.81","Rendah"
"UP-024","Sumatera Utara","Perizinan","12456","99.18","3.29","674","Wtp","Gerai Keliling","92.75","18.48","776.68","Rendah"
"UP-025","Jakrta","Pengaduan Publik","14404","99.22","19.91","420","WTP","Mobile Service","94.25","34.3","555.07","Rendah"
"UP-026","Jawa Timur","Kesehatan","26426","97.16","7.9","553","WTP ","Online","97.72","47.79","781.21","Rendah"
"UP-027","Jawa Tengah","Perizinan","31715","90.02","2.55","470","WTP ","Call Center","87.76","67.48","891.72","Rendah"
"UP-028","Sulawesi Selatan","Pendidikan","22644","95.3","7.97","379","WTP ","N/A","89.2","59.75","616.7","Rendah"
"UP-029","Jawa Timur","Perpajakan Daerah","5785","90.31","0","459","wtp","Call Center","96.64","12.6","422.18","Rendah"
"UP-030","D.K.I Jakarta","Pendidikan","25362","88.54","15.89","360","wtp","Mobile Service","82.33","70.45","640.18","Rendah"
"UP-031","Riau","Perpajakan Daerah","15455","89.59","16.86","337","wtp","Call Center","88.23","45.86","471.79","Rendah"
"UP-032","Sumatera Utara","Pendidikan","10022","88.21","21.45","237","wtp","Gerai Keliling","94.14","42.29","293.36","Rendah"
"UP-033","Papua","Kesehatan","7547","98.6","","614","WTP ","?","80.19","12.29","605.54","Rendah"
"UP-034","DI Yogyakarta","Perizinan","19321","","5.37","666","wtp","Gerai Keliling","","29.01","859.2","Rendah"
"UP-035","Kalimantan Timur","Perizinan","25449","97.08","15.48","434","wtp","Call Center","94.58","58.64","679.4","Rendah"
"UP-036","Banten","Perpajakan Daerah","24321","98.98","19.25","152","WTP","Loket","90.52","160.01","452.22","Rendah"
"UP-037","Sumatera Utara","Perpajakan Daerah","13247","93.57","3.54","96","wtp","?","","137.99","235.85","Rendah"
"UP-038","Jawa Tengah","Perpajakan Daerah","15310","90.06","","-12","Wtp","Call Center","87.23","-1275.83","240.58","Rendah"
"UP-039","D.K.I Jakarta","Administrasi Kependudukan","11658","88.85","","","wtp","Online","84.77","","","Rendah"
"UP-040","","-","14314","89.95","11.77","494","WTP","Gerai Keliling","83.34","28.98","570.48","Rendah"
"UP-041","N/A","Kesehatan","17791","95.35","16.76","257","?","Onlne","91.93","69.23","512.84","Rendah"
"UP-042","Kalimantan Timur","Pendidikan","5630","88.68","20.13","485","WTP","Online","91.74","11.61","503.42","Rendah"
"UP-043","D.K.I Jakarta","-","10995","","2.15","647","WTP","Mobile Service","80.2","16.99","701.71","Rendah"
"UP-044","Jakarta","Perpajakan Daerah","769","97.15","12.92","410","WTP","Gerai Keliling","86.15","1.88","393.53","Rendah"
"UP-045","Kalimantan Timur","Kesehatan","7499","88.19","10.43","607","wtp","Loket","","12.35","25000","Rendah"
"UP-046","D.K.I Jakarta","Administrasi Kependudukan","2475","91.76","14.37","210","wtp","online","93.34","11.79","260.57","Rendah"
"UP-047","Jawa Timur","Kesehatan","2211","88.7","4.16","73","WTP","Loket","89.41","30.29","88.73","Rendah"
"UP-048","Jawa Timur","Perizinan","31509","88.63","12.23","121","wtp","Gerai Keliling","95.72","260.4","581.64","Rendah"
