Kode_transaksi,makan_pagi,makan_siang,makan_malam,snack,minum,transport,parkir,pulsa,internet,listrik,air,sewa,alat_tulis,buku,software,bensin,service_motor,service_laptop,donasi,tabungan
TRX001,1,,,1,1,,,1,1,1,,,,,,,,,,
TRX002,,,,,1,,,,,,,,,,,1,1,,1,1
TRX003,1,1,1,1,,,,,,,,,,,,,,,,
TRX004,1,1,1,1,1,,,1,1,1,,,1,,,1,,,,1
TRX005,1,1,,,1,,,,,1,1,1,,,,1,1,1,1,1
TRX006,1,,,1,,1,1,,1,,,,1,,,1,1,1,,
TRX007,1,1,,1,1,,,1,1,1,1,,1,1,,,1,1,1,1
TRX008,,1,1,1,1,,,,1,1,,,,1,1,1,1,1,1,1
TRX009,1,1,,,,1,1,1,,1,1,,1,1,,1,,,,1
TRX010,1,1,,,,,1,,,,,1,1,1,,1,1,,,1
TRX011,,,,,,,,,,,1,1,,1,1,1,1,1,1,1
TRX012,,1,,,,1,1,1,,1,,,1,1,,,,,,
TRX013,,,,,,,,,1,,,1,1,1,1,,1,,,
TRX014,,1,1,1,,1,,,1,1,,,,,,,,,,
TRX015,1,,1,1,1,1,,,1,,1,1,,1,1,,,,,
TRX016,1,1,1,1,,1,,1,,1,,,,,,1,,,,1
TRX017,1,1,1,1,1,,,,1,,,,,,,,,,,1
TRX018,1,1,,1,1,1,1,,1,,,,,,,1,,,,1
TRX019,1,,,1,1,,,,,,1,,,1,,,1,,,1
TRX020,,,1,,1,,,,1,,,,,,1,1,1,,1,1
TRX021,1,,1,1,1,1,,,1,1,,,,,,,,,,
TRX022,1,,1,,,1,1,1,1,1,1,,,,,,,,,
TRX023,1,,,,1,,,,1,,,,,1,,1,1,,1,1
TRX024,1,1,1,1,1,1,,,1,,,,,,,1,,,,1
TRX025,1,,,1,1,1,1,1,,1,1,,,,,1,,,,
TRX026,1,,,,1,,,,,,,,,,1,,1,1,,1
TRX027,1,,1,1,1,,,1,,,1,,,,1,1,1,,1,
TRX028,1,,,1,,,1,1,1,,1,1,,,1,,1,,1,1
TRX029,1,,,1,,1,,1,,,1,1,,,,,1,,,1
TRX030,1,,,,1,1,1,1,1,1,,1,1,,,,,,,
TRX031,1,,,,,1,1,1,,1,,,1,,1,,,,,
TRX032,1,1,1,1,1,1,,,,,,,,,,,,,,
TRX033,,,,,1,,,,1,1,1,1,1,,1,1,,1,,
TRX034,,,,1,,,,1,,,1,,,1,,,1,1,,1
TRX035,1,1,1,,1,,,,,,,,,,,,,,,
TRX036,1,,,,,,,1,1,1,,,,,,,,,,
TRX037,1,,,1,1,,1,,,1,1,1,,1,1,,,,,
TRX038,,1,,,1,,,1,1,,,,1,1,1,,1,,1,
TRX039,1,1,1,1,,,,,1,,,,1,,,,,,,
TRX040,1,1,1,1,1,,,,,,,,,,,1,,,,1
TRX041,,1,,1,1,,,,,,,,,,,,,,,
TRX042,1,1,1,,1,,,,,,1,1,1,1,1,1,1,,,1
TRX043,,,1,,,1,1,,1,1,,,1,,,,,,,
TRX044,,,,,1,,,,,,,1,1,1,1,,,1,,1
TRX045,1,1,,,1,1,1,1,1,1,1,1,1,,,,,,,
TRX046,1,,,1,1,1,1,1,,1,1,,,,,,1,,,1
TRX047,,,,,,1,1,1,1,1,1,,1,1,,,,,,
TRX048,,,,,,,,,1,,,1,1,1,1,,,,,1
TRX049,1,1,1,,1,,1,,,1,,,,,,1,,,,1
TRX050,1,,1,1,1,1,1,,1,,1,1,,1,1,1,1,,,1
TRX051,1,,1,1,,,1,,,,1,,,1,1,,,,,
TRX052,1,1,1,1,1,,,,,,,,,,,,,,,
TRX053,,,,1,1,,,1,,,1,,,1,1,,1,,,
TRX054,1,,,,1,,,,,,,1,1,1,,,,,,
TRX055,,,1,,1,,1,,1,,,,1,1,1,1,1,1,1,
TRX056,,,,,,,1,1,1,,1,,1,1,1,,,,,1
TRX057,,,,,,,,1,,,1,1,1,1,1,1,,,,1
TRX058,,1,,,,1,,1,1,,,,,,,1,1,1,1,1
TRX059,1,1,1,1,1,1,1,,,,,,,,,,,,,
TRX060,1,,,,1,,,,1,,1,1,,1,1,,1,,,1
TRX061,,,1,1,1,,,,1,,,,,,,1,,,,1
TRX062,,,,,1,,,,1,1,,,,,,1,1,1,1,
TRX063,1,,1,,1,,1,,1,,,,1,,,,1,,1,
TRX064,1,1,1,1,,,,,,1,,,,,,,,,,1
TRX065,,,1,1,,,1,,1,,1,1,,1,1,,,,,
TRX066,,,1,,,,,1,,,1,1,1,1,1,,,,,1
TRX067,1,,,,1,1,,,,,,,,1,,1,,,1,1
TRX068,1,,,,,1,,1,,,1,1,,1,1,1,,,,1
TRX069,1,1,1,1,1,,1,1,,,,,,,,1,,,,
TRX070,,1,,,,,,1,,,,,,,1,1,1,1,1,1
TRX071,1,1,,,,,,1,,1,1,1,1,1,1,,1,,,
TRX072,1,,,1,,,,,1,,,,,,1,1,1,1,1,1
TRX073,1,1,1,1,1,,,,1,,,,1,,,1,,,,
TRX074,,,1,1,,,,1,1,1,1,1,,,1,1,1,1,1,1
TRX075,,1,,,,1,,1,1,1,,,,,,1,,,,1
TRX076,1,1,,,,,,,1,,,1,1,1,,,1,,,
TRX077,,,,,,1,1,1,1,1,,,,,,,,,,
TRX078,1,,,,1,1,1,,1,1,,,,,1,,,,,
TRX079,1,,,,1,1,,,,1,1,,,1,1,,,,,
TRX080,1,,,,1,,1,1,1,,1,,,1,1,1,1,,,1
TRX081,,1,1,,,,,,,,,1,,1,1,1,,1,,
TRX082,1,,,1,,1,,1,1,,1,,1,1,,,1,,,
TRX083,,,,1,1,,,1,,,1,,,1,,1,1,,,1
TRX084,1,,,1,1,,1,1,1,,1,,1,1,,1,1,,,
TRX085,,,,,,1,1,1,1,,1,,,1,,,,,,1
TRX086,,,,,1,1,1,1,1,1,,,1,,,1,,,,
TRX087,1,,,,1,,,,1,1,1,1,1,1,1,1,,,,
TRX088,1,1,1,1,1,,,,1,,,,1,,,,,,,
TRX089,,,1,,,,,1,1,,,,,,1,1,1,1,1,1
TRX090,1,,,,,1,1,1,1,1,,,,,,1,,,,1
TRX091,,,,1,,,,1,,,1,1,,1,1,1,,,,1
TRX092,1,1,,1,,1,1,1,1,1,,,,,,,,,,
TRX093,,,,,1,,,,1,1,1,1,1,1,1,1,,1,,1
TRX094,1,1,1,1,1,,,,1,,,,1,,,1,,,,1
TRX095,,,,,1,1,1,1,,1,,,1,,,,,,,
TRX096,1,1,1,1,1,1,,,,,,,,,,,,,,
TRX097,1,,,1,1,,1,1,1,,1,,1,1,,1,1,,,1
TRX098,1,1,,,1,1,,1,1,1,,,,,,,,,,
TRX099,1,1,,,,,1,1,,,1,,1,,,1,1,,1,1
TRX100,1,1,,,1,1,1,1,1,1,,1,1,,1,1,,,,1
TRX101,1,,1,,1,,,,1,,1,1,,1,1,1,1,,1,1
TRX102,,,1,,,1,1,1,1,1,,,1,,,,,,,
TRX103,1,,1,1,,,,,1,,,,1,,,,1,1,1,1
TRX104,,,,,,,,,,,1,1,1,1,1,,,1,,
TRX105,1,1,1,1,1,,,,,,,,,,,1,,,,1
TRX106,1,1,1,1,1,,,,,,,,,,,,,,,
TRX107,,,,,,,1,,,,,,,,,1,1,1,1,1
TRX108,,,,1,,,1,1,1,,1,1,1,1,,1,1,1,,1
TRX109,1,,,1,,,,1,1,,1,,,1,,,1,1,,1
TRX110,,,,,,,,1,1,1,1,1,1,1,1,,,,,1
TRX111,,,,,,1,,1,1,,1,1,,1,1,1,,,1,
TRX112,1,,,,1,,,,1,,,,1,,,1,1,1,1,1
TRX113,1,,,1,1,,,1,,1,1,,,1,,,1,,,1
TRX114,,,1,,1,,,,,,1,1,1,1,1,1,,,,
TRX115,1,,1,,1,,,,1,,,,1,,,1,1,1,1,1
TRX116,1,,,,1,1,,1,1,1,,,,,,,,,,
TRX117,1,,,,,,,,1,,,,,1,,1,,,,1
TRX118,1,,,,1,1,,1,1,,1,,,1,,,1,,,1
TRX119,1,1,1,,1,,1,,1,,,,,,,,,,,
TRX120,1,,,,1,,,,1,,1,1,,1,1,,1,,,
TRX121,1,,,1,,1,,1,1,,1,1,,1,,,,,,1
TRX122,1,,,,,1,,,1,1,,1,,1,,1,,,,1
TRX123,1,1,,,1,1,1,1,1,1,1,,1,,,,,,,
TRX124,,,,,,1,1,1,1,1,,1,,,1,1,,,,
TRX125,1,,,,,,,,1,,1,1,1,1,,1,,,1,
TRX126,1,1,1,1,1,,,1,1,,,,,,,,,,,
TRX127,1,,1,1,1,,,,,,,,,,,1,,,,1
TRX128,1,,1,,1,1,1,,1,1,,,,,,1,,,,1
TRX129,,,,,,,1,,1,,1,1,1,1,1,1,1,1,,1
TRX130,1,,1,,1,1,1,1,1,1,,,,,,1,,,,1
TRX131,1,1,1,1,,,,1,1,1,,,1,,,,,,,
TRX132,1,,,,,,,,1,,,1,1,1,1,,,1,,1
TRX133,1,,,,1,1,1,1,1,1,,,1,,,,,,,
TRX134,1,,,,1,,1,,,,,1,1,1,1,,,,,1
TRX135,1,1,1,1,1,,1,,,,,,1,,,,,,,
TRX136,1,1,,,1,,1,1,1,1,,,,,1,,,,,
TRX137,,,,1,,1,1,,,,,,,,,1,1,1,1,1
TRX138,1,,,,,1,,,,,1,1,,1,,1,1,,,1
TRX139,1,1,,1,,,,1,,,1,,1,,1,1,1,,,1
