ID_Satker,Jumlah_Penduduk_Terlayani_Ribu,Jumlah_Program_Kegiatan,Jumlah_Pegawai,Luas_Wilayah_km2,Realisasi_Anggaran_Tahun_Lalu_Juta,Jumlah_Unit_Kerja,Tingkat_Inflasi_Pct,Kebutuhan_Anggaran_Juta
SATK0001,116.9,23,34,15,4669,9,2.38,5254.6
SATK0002,187.0,22,38,242.4,7012,8,3.7,7622.4
SATK0003,30.2,7,77,354.4,9965,4,1.86,11098.2
SATK0004,5,21,47,188.5,18981,8,3.41,20260.1
SATK0005,21.5,10,8,232.3,3068,6,2.77,3683.0
SATK0006,128.8,16,56,104.7,10819,6,5.48,12278.7
SATK0007,133.2,26,26,164.7,2634,8,3.98,3013.2
SATK0008,195.1,21,28,225.2,7971,11,2.98,9185.7
SATK0009,125.2,30,39,376.2,8975,5,3.3,10540.8
SATK0010,168.4,13,39,392.7,14630,4,2.25,15451.4
SATK0011,40.7,22,67,181.2,1427,5,1.98,2320.0
SATK0012,155.1,22,54,376.7,13101,7,4.63,14277.7
SATK0013,39.0,9,110,69.5,11272,6,3.08,12822.8
SATK0014,224.4,13,66,278.2,2742,8,3.79,3537.3
SATK0015,225.1,6,83,170.6,4306,8,3.07,4983.3
SATK0016,239.7,9,25,137.1,10368,6,3.13,10936.4
SATK0017,51.9,20,8,338.4,7748,9,3.66,8690.3
SATK0018,135.6,4,72,225.7,13785,4,2.11,15188.2
SATK0019,65.4,23,20,239.1,10911,6,2.91,12132.1
SATK0020,5,12,9,111.0,5441,7,2.91,6178.3
SATK0021,199.8,28,51,15,10332,9,1.85,11256.9
SATK0022,166.5,21,78,331.3,800,8,2.61,2338.6
SATK0023,236.9,17,100,148.5,10938,7,4.18,11732.2
SATK0024,268.8,21,96,203.4,9158,6,3.32,10314.1
SATK0025,168.4,34,16,144.7,800,5,3.05,1608.3
SATK0026,83.4,5,30,304.6,8263,11,4.98,9058.4
SATK0027,168.7,22,107,376.9,8432,4,2.32,9548.5
SATK0028,62.8,12,68,18.4,4946,11,0.87,6044.5
SATK0029,136.8,12,84,64.8,9871,6,3.11,10884.5
SATK0030,164.4,23,102,171.6,8753,7,3.9,9444.2
SATK0031,110.5,23,112,15,13669,3,3.61,15018.9
SATK0032,75.2,16,74,390.5,8639,8,1.85,9348.0
SATK0033,18.1,19,71,364.7,9425,8,1.25,10442.2
SATK0034,68.7,22,47,258.1,16064,9,3.23,17038.1
SATK0035,181.0,17,52,186.6,5153,6,4.49,6358.9
SATK0036,86.2,6,8,277.7,4373,6,3.29,5142.8
SATK0037,5,17,62,198.0,9479,4,2.75,10677.7
SATK0038,54.0,21,80,188.0,8440,4,3.59,9155.6
SATK0039,43.0,23,70,338.2,1279,2,2.46,1694.9
SATK0040,108.9,17,51,15,14929,8,4.8,15850.1
SATK0041,23.5,15,32,233.4,9837,7,1.07,10469.0
SATK0042,136.3,30,83,178.3,10568,10,3.48,11835.1
SATK0043,284.9,20,84,340.7,6382,6,2.95,7685.9
SATK0044,127.4,13,58,326.3,10395,2,4.43,11770.0
SATK0045,116.3,21,103,357.5,9362,3,5.26,10593.2
SATK0046,88.2,16,55,15,11106,9,2.83,12431.6
SATK0047,104.8,18,57,349.8,8411,10,2.3,9431.2
SATK0048,272.4,28,28,185.5,13646,4,3.21,14910.7
SATK0049,50.0,18,34,385.3,11491,7,4.29,12419.2
SATK0050,127.5,25,20,166.8,4942,10,3.69,5729.7
SATK0051,188.0,30,37,257.3,12931,9,1.46,14224.9
SATK0052,73.5,16,62,136.4,7461,8,3.77,8628.9
SATK0053,54.4,15,106,258.0,9253,2,2.29,10163.3
SATK0054,84.4,13,51,75.7,17912,2,3.65,19176.6
SATK0055,98.7,12,61,160.9,8968,4,0.5,10137.4
SATK0056,191.3,20,86,487.6,1542,6,2.14,2239.9
SATK0057,98.3,25,41,575.8,6568,3,2.41,7140.2
SATK0058,97.3,15,40,235.2,3626,3,2.37,4176.3
SATK0059,5,22,103,144.1,10456,5,1.16,11439.3
SATK0060,192.5,18,67,295.3,12850,6,3.85,14560.1
SATK0061,59.0,17,91,313.2,11318,8,2.47,12368.4
SATK0062,9.2,6,51,524.8,13030,4,2.67,14376.1
SATK0063,75.9,21,17,193.9,11287,7,3.09,11933.2
SATK0064,117.4,21,72,59.0,9406,4,3.4,9974.4
SATK0065,98.4,31,91,88.8,6308,6,3.89,6375.1
SATK0066,226.0,25,71,321.6,11806,4,3.49,12964.9
SATK0067,44.9,17,46,135.1,6752,6,2.2,7382.3
SATK0068,60.3,23,46,418.7,800,5,4.7,900
SATK0069,244.9,14,46,15,4150,5,3.61,4398.8
SATK0070,50.1,15,56,277.7,5650,8,2.34,5920.2
SATK0071,140.2,27,131,245.3,6910,7,3.2,8105.8
SATK0072,40.1,21,86,254.6,12584,7,3.14,14574.4
SATK0073,105.7,17,55,419.1,15677,7,3.17,17387.5
SATK0074,248.2,16,105,15,15364,6,1.96,16802.1
SATK0075,202.5,10,63,210.8,18383,7,4.23,20230.0
SATK0076,145.6,15,9,390.4,15017,7,3.66,16128.5
SATK0077,5,13,74,444.4,17528,6,3.76,18543.1
SATK0078,81.5,4,8,62.9,800,5,1.48,1438.4
SATK0079,107.6,16,76,92.3,8752,5,2.37,9808.7
SATK0080,146.3,26,83,470.1,9190,6,3.05,10657.8
SATK0081,70.7,26,47,67.1,6823,6,4.7,8049.3
SATK0082,156.8,27,110,195.4,9760,4,2.88,11106.7
SATK0083,111.5,13,82,66.5,11387,5,3.22,12282.2
SATK0084,223.4,22,67,324.2,7711,8,4.06,9479.4
SATK0085,145.9,23,52,138.7,3095,6,2.28,4250.2
SATK0086,26.1,21,64,214.3,11255,4,2.46,12198.5
