ID_Rumah,Luas_Tanah_m2,Luas_Bangunan_m2,Jumlah_Kamar_Tidur,Jumlah_Kamar_Mandi,Jumlah_Lantai,Usia_Bangunan_Tahun,Jarak_Pusat_Kota_km,Kategori_Lokasi,Harga_Rumah_Juta
RMH0001,140,78,3,2,2,9,13.4,Perkotaan,1462.7
RMH0002,158,85,3,1,2,6,1.5,Pinggiran,1277.6
RMH0003,153,118,3,2,1,1,18.9,Perkotaan,1837.1
RMH0004,167,132,1,1,1,29,2.9,Pinggiran,1311.8
RMH0005,196,156,2,1,2,0,1.6,Perkotaan,2379.3
RMH0006,174,85,3,2,1,2,1.9,Pedesaan,1094.9
RMH0007,93,48,2,2,1,4,27.4,Pinggiran,608.2
RMH0008,113,89,3,1,1,2,1.4,Pedesaan,766.0
RMH0009,193,137,2,1,2,5,1.8,Perkotaan,2084.4
RMH0010,129,88,4,2,3,6,0.6,Perkotaan,1598.0
RMH0011,226,173,4,2,1,4,30,Pinggiran,2063.5
RMH0012,125,57,3,2,1,8,0.7,Pinggiran,885.5
RMH0013,60,48,4,2,1,2,14.6,Pedesaan,498.1
RMH0014,245,170,4,3,2,6,0.3,Perkotaan,2853.3
RMH0015,310,248,3,2,1,0,12.6,Pedesaan,1987.3
RMH0016,191,91,3,1,1,6,1.8,Pedesaan,853.3
RMH0017,107,71,3,2,1,3,30,Pinggiran,823.8
RMH0018,182,91,3,2,1,2,0.4,Pinggiran,1491.8
RMH0019,170,135,5,2,1,9,1.4,Perkotaan,2234.0
RMH0020,114,73,3,1,1,5,3.3,Pinggiran,889.4
RMH0021,136,115,1,1,1,3,11.9,Perkotaan,1685.3
RMH0022,221,137,3,3,1,16,4.8,Perkotaan,2331.9
RMH0023,283,237,3,3,2,1,4.0,Perkotaan,3308.5
RMH0024,164,99,4,3,1,4,18.9,Pedesaan,968.5
RMH0025,60,31,2,1,3,7,4.7,Pinggiran,754.5
RMH0026,183,119,3,3,1,2,5.4,Pinggiran,1525.7
