ID_Sewa,Luas_Bangunan_m2,Jumlah_Kamar_Tidur,Jumlah_Kamar_Mandi,Status_Furnished,Jarak_Pusat_Kota_km,Fasilitas_Parkir,Tipe_Properti,Harga_Sewa_Juta_per_Tahun
SEW0001,75,2,2,Semi Furnished,15.6,Ya,Kos,14.62
SEW0002,52,2,2,Semi Furnished,7.4,Tidak,Apartemen,38.54
SEW0003,58,2,1,Semi Furnished,1.0,Ya,Apartemen,43.6
SEW0004,75,3,2,Kosongan,1.7,Ya,Rumah,38.48
SEW0005,159,4,3,Full Furnished,15.0,Ya,Apartemen,83.83
SEW0006,134,3,3,Semi Furnished,17.1,Tidak,Apartemen,59.23
SEW0007,79,4,3,Semi Furnished,12.8,Ya,Rumah,48.68
SEW0008,41,2,1,Full Furnished,2.4,Ya,Rumah,39.85
SEW0009,110,2,1,Semi Furnished,13.2,Ya,Rumah,37.39
SEW0010,81,2,2,Full Furnished,6.3,Ya,Rumah,44.21
SEW0011,53,2,1,Full Furnished,0.8,Ya,Kos,14.57
SEW0012,53,2,1,Semi Furnished,14.1,Ya,Rumah,24.19
SEW0013,119,1,1,Semi Furnished,0.2,Tidak,Kos,11.06
SEW0014,86,3,2,Semi Furnished,5.0,Tidak,Rumah,38.47
SEW0015,18,2,1,Semi Furnished,7.3,Ya,Rumah,28.51
SEW0016,90,3,3,Semi Furnished,2.2,Ya,Apartemen,62.88
SEW0017,78,2,1,Full Furnished,4.5,Ya,Rumah,41.63
SEW0018,71,1,1,Full Furnished,0.2,Ya,Kos,14.54
SEW0019,99,3,2,Semi Furnished,3.1,Tidak,Kos,17.97
SEW0020,122,3,2,Semi Furnished,3.2,Tidak,Rumah,45.49
SEW0021,74,2,1,Kosongan,1.8,Tidak,Apartemen,36.61
SEW0022,127,3,2,Full Furnished,1.2,Tidak,Rumah,53.22
SEW0023,123,1,1,Semi Furnished,18.6,Ya,Rumah,38.06
SEW0024,19,3,2,Kosongan,0.8,Ya,Apartemen,33.11
SEW0025,39,2,2,Kosongan,0.5,Tidak,Apartemen,31.66
SEW0026,73,2,1,Kosongan,5.3,Tidak,Rumah,26.65
SEW0027,104,1,1,Kosongan,5.1,Ya,Rumah,35.63
SEW0028,59,3,2,Full Furnished,4.9,Tidak,Rumah,42.49
SEW0029,109,2,1,Semi Furnished,0.5,Ya,Kos,14.66
SEW0030,73,3,2,Kosongan,8.0,Tidak,Kos,8.25
SEW0031,55,2,2,Kosongan,5.2,Ya,Rumah,27.9
SEW0032,142,2,2,Full Furnished,1.0,Tidak,Apartemen,66.22
SEW0033,143,4,3,Semi Furnished,2.0,Ya,Apartemen,71.99
SEW0034,142,2,2,Full Furnished,2.4,Ya,Apartemen,72.36
SEW0035,18,3,2,Full Furnished,3.0,Ya,Rumah,39.56
SEW0036,24,3,2,Semi Furnished,0.3,Ya,Kos,13.09
SEW0037,56,3,2,Full Furnished,4.6,Tidak,Apartemen,51.02
SEW0038,64,4,2,Full Furnished,3.4,Tidak,Apartemen,57.4
