tanggal,nilai_tukar_Rp_per_USD
2024-08-18,15185.59
2024-08-19,15370.31
2024-08-20,15135.27
2024-08-21,15242.60
2024-08-22,15351.87
2024-08-23,15225.00
2024-08-24,15248.17
2024-08-25,15400.49
2024-08-26,15231.34
2024-08-27,15315.12
2024-08-28,15340.46
2024-08-29,15145.46
2024-08-30,15339.14
2024-08-31,15488.66
2024-09-01,15394.84
2024-09-02,15385.50
2024-09-03,15184.54
2024-09-04,15269.17
2024-09-05,15174.21
2024-09-06,15084.65
2024-09-07,15261.41
2024-09-08,15124.27
2024-09-09,15063.51
2024-09-10,15135.77
2024-09-11,15310.08
2024-09-12,15376.04
2024-09-13,15225.03
2024-09-14,15235.43
2024-09-15,15341.87
2024-09-16,15228.70
2024-09-17,15431.29
2024-09-18,15309.10
2024-09-19,15427.00
2024-09-20,15266.30
2024-09-21,15215.89
2024-09-22,15424.35
2024-09-23,15425.24
2024-09-24,15471.01
2024-09-25,15400.80
2024-09-26,15307.59
2024-09-27,15485.12
2024-09-28,15210.14
2024-09-29,15372.33
2024-09-30,15429.69
2024-10-01,15380.34
2024-10-02,15399.71
2024-10-03,15294.91
2024-10-04,15453.15
2024-10-05,15335.05
2024-10-06,15366.16
2024-10-07,15192.56
2024-10-08,15401.63
2024-10-09,15252.23
2024-10-10,15312.00
2024-10-11,15160.60
2024-10-12,15382.01
2024-10-13,15215.81
2024-10-14,15292.81
2024-10-15,15432.12
2024-10-16,15326.03
2024-10-17,15485.29
2024-10-18,15531.29
2024-10-19,15636.59
2024-10-20,15523.99
2024-10-21,15419.44
2024-10-22,15487.17
2024-10-23,15618.84
2024-10-24,15478.68
2024-10-25,15592.20
2024-10-26,15532.41
2024-10-27,15348.45
2024-10-28,15685.25
2024-10-29,15480.09
2024-10-30,15517.64
2024-10-31,15509.84
2024-11-01,15440.23
2024-11-02,15406.39
2024-11-03,15464.11
2024-11-04,15330.75
2024-11-05,15497.47
2024-11-06,15241.86
2024-11-07,15411.74
2024-11-08,15491.76
2024-11-09,15428.53
2024-11-10,15258.22
2024-11-11,15518.90
2024-11-12,15464.15
2024-11-13,15260.06
2024-11-14,15346.28
2024-11-15,15374.32
2024-11-16,15373.53
2024-11-17,15364.00
2024-11-18,15429.55
2024-11-19,15443.58
2024-11-20,15416.07
2024-11-21,15628.24
2024-11-22,15581.83
2024-11-23,15702.35
2024-11-24,15555.25
2024-11-25,15522.03
2024-11-26,15409.58
2024-11-27,15694.14
2024-11-28,15415.73
2024-11-29,15630.68
2024-11-30,15584.58
2024-12-01,15430.29
2024-12-02,15342.23
2024-12-03,15512.40
2024-12-04,15524.76
2024-12-05,15365.68
2024-12-06,15507.09
2024-12-07,15441.63
2024-12-08,15464.44
2024-12-09,15290.39
2024-12-10,15193.88
2024-12-11,15355.43
2024-12-12,15288.01
2024-12-13,15314.74
2024-12-14,15512.95
2024-12-15,15337.48
2024-12-16,15683.55
2024-12-17,15389.56
2024-12-18,15582.12
2024-12-19,15780.74
2024-12-20,15597.79
2024-12-21,15554.26
2024-12-22,15551.80
2024-12-23,15553.54
2024-12-24,15609.21
2024-12-25,15579.64
2024-12-26,15505.51
2024-12-27,15470.23
2024-12-28,15560.15
2024-12-29,15478.57
2024-12-30,15660.63
2024-12-31,15590.75
2025-01-01,15695.87
2025-01-02,15496.11
2025-01-03,15519.25
2025-01-04,15372.59
2025-01-05,15333.66
2025-01-06,15524.97
2025-01-07,15379.55
2025-01-08,15537.19
2025-01-09,15336.79
