tanggal,realisasi_belanja_milyar_Rp
2016-01-01,658.9
2016-02-01,735.8
2016-03-01,825.7
2016-04-01,892.5
2016-05-01,965.8
2016-06-01,1028.9
2016-07-01,1095.7
2016-08-01,1168.5
2016-09-01,1245.8
2016-10-01,1342.7
2016-11-01,1468.9
2016-12-01,1658.5
2017-01-01,698.7
2017-02-01,782.5
2017-03-01,878.9
2017-04-01,952.8
2017-05-01,1032.7
2017-06-01,1105.8
2017-07-01,1178.9
2017-08-01,1258.7
2017-09-01,1348.5
2017-10-01,1458.9
2017-11-01,1598.7
2017-12-01,1808.5
2018-01-01,745.8
2018-02-01,835.9
2018-03-01,942.5
2018-04-01,1025.8
2018-05-01,1115.9
2018-06-01,1198.5
2018-07-01,1278.9
2018-08-01,1368.7
2018-09-01,1468.5
2018-10-01,1598.7
2018-11-01,1758.9
2018-12-01,1998.5
2019-01-01,798.5
2019-02-01,895.8
2019-03-01,1015.7
2019-04-01,1108.9
2019-05-01,1208.5
2019-06-01,1298.7
2019-07-01,1388.9
2019-08-01,1488.5
2019-09-01,1598.7
2019-10-01,1748.5
2019-11-01,1928.9
2019-12-01,2198.7
2020-01-01,845.7
2020-02-01,948.5
2020-03-01,1125.8
2020-04-01,1358.9
2020-05-01,1468.7
2020-06-01,1558.9
2020-07-01,1625.8
2020-08-01,1715.9
2020-09-01,1798.5
2020-10-01,1925.8
2020-11-01,2098.7
2020-12-01,2385.9
2021-01-01,898.5
2021-02-01,1008.7
2021-03-01,1158.9
2021-04-01,1268.5
2021-05-01,1378.9
2021-06-01,1478.5
2021-07-01,1568.7
2021-08-01,1668.9
2021-09-01,1778.5
2021-10-01,1928.7
2021-11-01,2128.9
2021-12-01,2448.5
2022-01-01,965.8
2022-02-01,1085.7
2022-03-01,1248.9
2022-04-01,1368.5
2022-05-01,1488.7
2022-06-01,1598.9
2022-07-01,1698.5
2022-08-01,1808.7
2022-09-01,1928.5
2022-10-01,2098.9
2022-11-01,2318.7
2022-12-01,2678.5
2023-01-01,1045.8
2023-02-01,1175.9
2023-03-01,1358.7
2023-04-01,1488.9
2023-05-01,1618.5
2023-06-01,1738.9
2023-07-01,1848.7
2023-08-01,1968.5
2023-09-01,2098.9
2023-10-01,2288.7
2023-11-01,2528.5
2023-12-01,2928.9
2024-01-01,1138.9
2024-02-01,1278.5
2024-03-01,1478.9
2024-04-01,1618.7
2024-05-01,1758.9
2024-06-01,1888.5
2024-07-01,2008.7
2024-08-01,2138.9
2024-09-01,2278.5
2024-10-01,2488.9
2024-11-01,2748.7
2024-12-01,3188.5
2025-01-01,1238.7
2025-02-01,1388.9
2025-03-01,1608.5
2025-04-01,1758.9
2025-05-01,1908.7
2025-06-01,2048.9
2025-07-01,2178.5
2025-08-01,2318.7
2025-09-01,2478.9
2025-10-01,2708.5
2025-11-01,2988.9
2025-12-01,3468.7
2026-01-01,1348.9
2026-02-01,1508.7
2026-03-01,1748.9
2026-04-01,1908.5
2026-05-01,2078.9
2026-06-01,2228.7
2026-07-01,2368.9
2026-08-01,2518.5
