tanggal,realisasi_pajak_milyar_Rp
2016-01-01,895.7
2016-02-01,835.2
2016-03-01,1015.8
2016-04-01,1087.3
2016-05-01,968.5
2016-06-01,1025.4
2016-07-01,1058.9
2016-08-01,1095.7
2016-09-01,1175.8
2016-10-01,1248.6
2016-11-01,1168.9
2016-12-01,1342.7
2017-01-01,945.8
2017-02-01,882.7
2017-03-01,1098.5
2017-04-01,1165.4
2017-05-01,1038.7
2017-06-01,1102.8
2017-07-01,1145.6
2017-08-01,1189.4
2017-09-01,1268.5
2017-10-01,1358.7
2017-11-01,1265.8
2017-12-01,1458.3
2018-01-01,1012.5
2018-02-01,945.8
2018-03-01,1185.7
2018-04-01,1268.9
2018-05-01,1125.4
2018-06-01,1198.6
2018-07-01,1245.8
2018-08-01,1298.5
2018-09-01,1385.7
2018-10-01,1485.9
2018-11-01,1375.8
2018-12-01,1598.5
2019-01-01,1095.8
2019-02-01,1028.5
2019-03-01,1289.7
2019-04-01,1385.6
2019-05-01,1235.8
2019-06-01,1312.5
2019-07-01,1368.9
2019-08-01,1425.8
2019-09-01,1525.6
2019-10-01,1635.8
2019-11-01,1512.7
2019-12-01,1758.9
2020-01-01,1145.6
2020-02-01,1078.9
2020-03-01,1198.5
2020-04-01,985.7
2020-05-01,892.3
2020-06-01,945.8
2020-07-01,1058.6
2020-08-01,1125.8
2020-09-01,1268.5
2020-10-01,1398.7
2020-11-01,1345.8
2020-12-01,1625.9
2021-01-01,1198.7
2021-02-01,1135.8
2021-03-01,1368.9
2021-04-01,1456.8
2021-05-01,1298.5
2021-06-01,1385.7
2021-07-01,1445.8
2021-08-01,1512.6
2021-09-01,1625.8
2021-10-01,1758.9
2021-11-01,1635.7
2021-12-01,1898.5
2022-01-01,1285.7
2022-02-01,1215.8
2022-03-01,1485.9
2022-04-01,1598.7
2022-05-01,1425.8
2022-06-01,1525.6
2022-07-01,1598.5
2022-08-01,1675.8
2022-09-01,1798.5
2022-10-01,1945.8
2022-11-01,1808.7
2022-12-01,2098.9
2023-01-01,1398.5
2023-02-01,1325.7
2023-03-01,1625.8
2023-04-01,1758.9
2023-05-01,1568.7
2023-06-01,1685.9
2023-07-01,1768.5
2023-08-01,1858.7
2023-09-01,1998.5
2023-10-01,2158.9
2023-11-01,2008.7
2023-12-01,2335.8
2024-01-01,1525.8
2024-02-01,1445.9
2024-03-01,1785.7
2024-04-01,1935.8
2024-05-01,1728.5
2024-06-01,1858.9
2024-07-01,1952.6
2024-08-01,2058.7
2024-09-01,2215.8
2024-10-01,2398.5
2024-11-01,2228.9
2024-12-01,2598.7
2025-01-01,1685.9
2025-02-01,1598.5
2025-03-01,1978.5
2025-04-01,2145.8
2025-05-01,1915.7
2025-06-01,2058.9
2025-07-01,2168.5
2025-08-01,2285.9
2025-09-01,2468.7
2025-10-01,2668.5
2025-11-01,2478.9
2025-12-01,2898.5
2026-01-01,1825.8
2026-02-01,1738.5
2026-03-01,2145.9
2026-04-01,2325.7
2026-05-01,2078.5
2026-06-01,2235.8
2026-07-01,2358.9
2026-08-01,2485.7
